Day,Start,End,Work unit description,Duration,Task,Month,Year,Weekday,Task Category
2022-01-11,9:31 PM,10:31 PM,,60,School Exam Prepare,2022-01,2022,Tuesday,School
2022-01-12,3:13 PM,3:43 PM,250xp,30,Data Science & Programming,2022-01,2022,Wednesday,Data Science & Programming
2022-01-12,7:07 PM,8:10 PM,,63,School Exam Prepare,2022-01,2022,Wednesday,School
2022-01-13,1:16 PM,2:18 PM,,62,School Exam Prepare,2022-01,2022,Thursday,School
2022-01-13,2:58 PM,4:18 PM,,80,School Exam Prepare,2022-01,2022,Thursday,School
2022-01-13,9:27 PM,10:56 PM,,88,Thesis,2022-01,2022,Thursday,Research
2022-01-14,11:11 AM,12:11 PM,,60,Data Science & Programming,2022-01,2022,Friday,Data Science & Programming
2022-01-15,1:38 PM,2:36 PM,Python 250xp,58,Data Science & Programming,2022-01,2022,Saturday,Data Science & Programming
2022-01-15,2:36 PM,4:04 PM,,88,Thesis,2022-01,2022,Saturday,Research
2022-01-16,8:46 PM,11:05 PM,,140,Thesis,2022-01,2022,Sunday,Research
2022-01-17,2:25 PM,3:27 PM,,62,Thesis,2022-01,2022,Monday,Research
2022-01-17,3:27 PM,4:27 PM,,60,Data Science & Programming,2022-01,2022,Monday,Data Science & Programming
2022-01-18,8:43 AM,9:15 AM,,32,Thesis,2022-01,2022,Tuesday,Research
2022-01-18,12:34 PM,1:06 PM,,32,Thesis,2022-01,2022,Tuesday,Research
2022-01-18,4:00 PM,5:14 PM,,74,Homework,2022-01,2022,Tuesday,School
2022-01-19,10:42 AM,11:42 AM,,60,Data Science & Programming,2022-01,2022,Wednesday,Data Science & Programming
2022-01-19,2:43 PM,4:39 PM,,116,Homework,2022-01,2022,Wednesday,School
2022-01-19,7:32 PM,10:57 PM,,167,Homework,2022-01,2022,Wednesday,School
2022-01-20,10:16 AM,8:16 PM,城设,600,Homework,2022-01,2022,Thursday,School
2022-01-21,6:15 PM,7:47 PM,,92,Thesis,2022-01,2022,Friday,Research
2022-01-21,8:27 PM,9:00 PM,,32,Personal Growth,2022-01,2022,Friday,Personal Growth
2022-01-21,10:32 PM,11:59 PM,,86,Thesis,2022-01,2022,Friday,Research
2022-01-22,12:00 AM,12:32 AM,,32,Thesis,2022-01,2022,Saturday,Research
2022-01-22,1:29 AM,2:29 AM,,60,Thesis,2022-01,2022,Saturday,Research
2022-01-22,1:37 PM,2:37 PM,,60,Data Science & Programming,2022-01,2022,Saturday,Data Science & Programming
2022-01-22,3:00 PM,3:47 PM,,47,Thesis,2022-01,2022,Saturday,Research
2022-01-22,4:47 PM,5:17 PM,,30,Read Books,2022-01,2022,Saturday,Personal Growth
